Observed,Predicted
1.0,0.9986599970952601
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
0.7846154,0.773864589882643
1.0,0.9999999969465913
1.0,0.9884759969292448
1.0,0.9999999969465913
1.0,0.9977912039202746
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
0.3384615,0.3861965368899446
0.9846154,0.9862359991082535
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9998190492786825
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999998967211841
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
0.9692308,0.9686600756317395
1.0,0.9999988562701483
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999988562701483
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9938187394736835
0.9538462,0.9589962559802231
1.0,0.9999999969465913
0.9230769,0.9151756258500069
1.0,0.9999999969465913
1.0,0.9999809492544542
0.7538462,0.7647269868902795
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
0.9692308,0.9683380738231323
0.9076923,0.9231310228851131
0.9846154,0.9882757606956811
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999961844537859
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
0.9846154,0.9921989582591888
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9998096948892087
1.0,0.9999910224394812
0.9846154,0.9841233133019192
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999975440989973
1.0,0.9999999969465913
1.0,0.9999999969465913
0.7076923,0.7188220084604311
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999876905116806
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9913423146441155
1.0,0.9999999969465913
0.3076923,0.31744822683340335
1.0,0.9999998931625
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
0.9384615,0.9523303259009244
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999952895682429
1.0,0.9999038768537859
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999994731370012
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
0.9538462,0.9407648052500592
1.0,0.9999999969465913
1.0,0.9999999969465913
0.2,0.20008088015000078
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9998420376321241
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
0.2769231,0.2735272727393952
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999854242750346
1.0,0.9999999969465913
1.0,0.9999910224394812
1.0,0.9999999969465913
0.9846154,0.9786958835925252
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
0.9538462,0.957588105852161
1.0,0.9999999969465913
0.8461539,0.7900178378708133
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
0.9692308,0.9734324444819272
0.9538462,0.9588885298617617
0.9846154,0.9879321631462246
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
0.7692308,0.7867126880736158
1.0,0.9999999969465913
0.9846154,0.9747224094454303
0.9692308,0.9675446703617179
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9973982463616667
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
0.9846154,0.991005031659042
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999998931625
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
0.7846154,0.8116923883660342
0.9846154,0.9743795902369843
1.0,0.9999999969465913
0.9692308,0.9770589209242703
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
1.0,0.9999999969465913
0.9692308,0.9702610264087033
