Observed,Predicted
1.0,0.9952277795186218
1.0,1.0000046179103783
1.0,1.0000179748733407
1.0,1.0000046179103783
1.0,1.0000046179103783
0.7846154,0.77417753478454
1.0,1.0000094551958607
1.0,0.9885411677108081
1.0,1.0000094551958607
1.0,0.9970403997998695
1.0,1.000013916549514
1.0,1.0000046179103783
1.0,1.000020685450874
1.0,1.000013916549514
0.3384615,0.38627825083808703
0.9846154,0.9938806532810525
1.0,1.0000046179103783
1.0,1.0000046179103783
1.0,1.0000046179103783
1.0,1.0000046179103783
1.0,1.0000046179103783
1.0,1.0002933392735402
1.0,0.997242469292159
1.0,1.0000094551958607
1.0,1.0000046179103783
1.0,1.0002347133307474
1.0,1.0000599380681772
1.0,1.0000094551958607
1.0,1.0000046179103783
1.0,1.000011249345381
0.9692308,0.9689328117205882
1.0,1.0001972457879038
1.0,1.0000046179103783
1.0,0.9999528630099481
1.0,1.0001972457879038
1.0,1.0000046179103783
1.0,1.0000753124826383
1.0,0.9873521648356909
0.9538462,0.9424484933783579
1.0,1.0000046179103783
0.9230769,0.9161257168544588
1.0,1.0000094551958607
1.0,1.0004531822651506
0.7538462,0.7720398353526691
1.0,1.0000046179103783
1.0,1.0000064120598986
1.0,1.0000094551958607
1.0,1.0000046179103783
0.9692308,0.9696508688843261
0.9076923,0.9264081701386326
0.9846154,0.988124746359348
1.0,0.9992027572935817
1.0,1.0000094551958607
1.0,1.0000046179103783
1.0,0.999923999106122
1.0,1.0000046179103783
1.0,1.0000203581546478
1.0,1.000871145462006
1.0,1.000179430634906
1.0,1.0000094551958607
1.0,0.9997811419107742
1.0,1.0000064120598986
1.0,1.0000046179103783
1.0,1.0000094551958607
1.0,1.000020685450874
1.0,1.0003787317538015
0.9846154,0.9926538333548772
1.0,1.0000046179103783
1.0,1.0000046179103783
1.0,1.0000094551958607
1.0,0.9985284921880376
1.0,1.0001079045647503
0.9846154,0.9805996749611602
1.0,1.0000094551958607
1.0,1.0000267805554233
1.0,1.0000094551958607
1.0,0.9991865070317468
1.0,0.998980856840107
1.0,1.0000094551958607
0.7076923,0.7120529523976794
1.0,1.0000120893367044
1.0,1.0000094551958607
1.0,1.0002260250388688
1.0,1.000013916549514
1.0,1.0000046179103783
