OBJECTID,pointid,grid_code,PR_mean,ETP_mean,Balance_me,stress_probability
3584,3584,1.0000000,174.3211365,820.4645996,-646.1434326,1.0000000
3585,3585,1.0000000,199.5636597,788.3074951,-588.7438354,1.0000000
3586,3586,1.0000000,222.8507996,751.8022461,-528.9514160,1.0000000
3587,3587,1.0000000,218.7740784,752.5342407,-533.7601318,1.0000000
3588,3588,1.0000000,204.9002533,774.4404907,-569.5402222,1.0000000
3589,3589,1.0000000,160.0124969,852.5914307,-692.5789185,1.0000000
3590,3590,1.0000000,119.6934738,971.2928467,-851.5993652,1.0000000
3591,3591,1.0000000,97.9864502,1083.0364990,-985.0499878,1.0000000
3592,3592,1.0000000,93.3570557,1128.8673096,-1035.5102539,1.0000000
3593,3593,1.0000000,99.0707779,1097.7666016,-998.6958618,1.0000000
3594,3594,1.0000000,104.7661667,1049.0994873,-944.3333740,1.0000000
3595,3595,1.0000000,94.5120239,1079.0959473,-984.5839233,1.0000000
3596,3596,1.0000000,75.5802383,1226.8256836,-1151.2453613,1.0000000
3597,3597,1.0000000,66.7093582,1331.3880615,-1264.6787109,1.0000000
3598,3598,1.0000000,60.5531769,1367.6083984,-1307.0551758,1.0000000
3599,3599,1.0000000,54.4338684,1379.2019043,-1324.7680664,1.0000000
3600,3600,1.0000000,103.8759232,1513.6922607,-1409.8164062,1.0000000
3601,3601,1.0000000,108.4090958,1613.5657959,-1505.1566162,1.0000000
3602,3602,1.0000000,114.4755630,1661.2503662,-1546.7747803,1.0000000
3603,3603,1.0000000,118.9658279,1678.0305176,-1559.0646973,1.0000000
3604,3604,1.0000000,125.0343323,1686.2680664,-1561.2337646,1.0000000
3605,3605,1.0000000,129.9873505,1671.5826416,-1541.5952148,1.0000000
3606,3606,1.0000000,137.0975037,1644.4517822,-1507.3542480,1.0000000
3607,3607,1.0000000,143.8433990,1632.5356445,-1488.6922607,1.0000000
3608,3608,1.0000000,148.9836273,1662.7796631,-1513.7960205,1.0000000
3609,3609,1.0000000,155.5282745,1701.5692139,-1546.0410156,1.0000000
3610,3610,1.0000000,161.9468689,1689.1466064,-1527.1997070,1.0000000
3611,3611,1.0000000,170.7573853,1662.1665039,-1491.4090576,1.0000000
3612,3612,1.0000000,179.2489471,1634.2572021,-1455.0081787,1.0000000
3613,3613,1.0000000,188.1521454,1600.7985840,-1412.6464844,1.0000000
3614,3614,1.0000000,195.7558746,1616.8041992,-1421.0483398,1.0000000
3615,3615,1.0000000,203.8546753,1642.2656250,-1438.4110107,1.0000000
3616,3616,1.0000000,216.4820862,1640.6754150,-1424.1933594,1.0000000
3617,3617,1.0000000,229.4056396,1581.3577881,-1351.9521484,1.0000000
3618,3618,1.0000000,240.6449890,1533.1761475,-1292.5311279,1.0000000
3619,3619,1.0000000,249.7336121,1504.3782959,-1254.6446533,1.0000000
3620,3620,1.0000000,264.1055298,1445.1004639,-1180.9949951,1.0000000
3621,3621,1.0000000,281.7314453,1364.3896484,-1082.6582031,1.0000000
3622,3622,1.0000000,279.2711792,1377.2263184,-1097.9552002,1.0000000
3623,3623,1.0000000,286.9441528,1385.2794189,-1098.3352051,1.0000000
3624,3624,1.0000000,285.6909790,1404.3457031,-1118.6546631,1.0000000
3625,3625,1.0000000,285.9200134,1417.5649414,-1131.6450195,1.0000000
3626,3626,1.0000000,290.8263855,1414.5090332,-1123.6827393,1.0000000
3627,3627,1.0000000,298.9886169,1393.8601074,-1094.8714600,1.0000000
3628,3628,1.0000000,308.6083069,1374.0626221,-1065.4542236,1.0000000
3629,3629,1.0000000,318.4229431,1367.3858643,-1048.9628906,1.0000000
3630,3630,1.0000000,324.7489014,1367.7220459,-1042.9731445,1.0000000
3631,3631,1.0000000,328.9731750,1367.2042236,-1038.2310791,1.0000000
3632,3632,1.0000000,340.3796997,1347.3443604,-1006.9646606,1.0000000
3633,3633,1.0000000,345.7160645,1327.1206055,-981.4045410,1.0000000
3634,3634,1.0000000,358.0805359,1284.2150879,-926.1345825,1.0000000
3635,3635,1.0000000,373.1409302,1243.0943604,-869.9534302,1.0000000
3636,3636,1.0000000,378.6611938,1244.6654053,-866.0042114,1.0000000
3637,3637,1.0000000,388.5933533,1219.1854248,-830.5921021,1.0000000
3638,3638,1.0000000,400.6392212,1184.6353760,-783.9962158,1.0000000
3639,3639,1.0000000,406.3713379,1175.2301025,-768.8587646,1.0000000
3640,3640,1.0000000,412.2807312,1159.7640381,-747.4833374,1.0000000
3641,3641,1.0000000,418.1516113,1142.0986328,-723.9470215,1.0000000
3642,3642,1.0000000,456.4717407,1055.2615967,-598.7898560,1.0000000
3643,3643,1.0000000,489.2444763,980.8301392,-491.5856628,1.0000000
3644,3644,1.0000000,474.1284790,997.9860229,-523.8575439,1.0000000
3645,3645,1.0000000,463.1259460,1028.2679443,-565.1420288,1.0000000
3646,3646,1.0000000,442.5497131,1065.0173340,-622.4675903,1.0000000
3647,3647,1.0000000,472.5187988,996.8491821,-524.3303833,1.0000000
3648,3648,0.9538460,560.2509766,864.2878418,-304.0368652,0.9538462
3649,3649,0.9538460,558.4614868,864.3908691,-305.9293518,0.9538462
3650,3650,1.0000000,520.3121948,929.2702026,-408.9580078,1.0000000
3651,3651,1.0000000,474.5920410,995.8284302,-521.2363892,1.0000000
3652,3652,1.0000000,502.9367371,961.6143799,-458.6776733,1.0000000
3653,3653,0.9692310,561.6648560,879.8000488,-318.1351929,0.9692308
3654,3654,0.9692310,536.1053467,899.0797729,-362.9744263,0.9692308
3655,3655,0.9692310,546.5965576,881.0010986,-334.4045410,0.9692308
3656,3656,0.9538460,578.7204590,832.0402222,-253.3197937,0.9538462
3657,3657,0.9538460,568.0645752,838.5953369,-270.5307312,0.9538462
3658,3658,0.9692310,539.4552002,871.8960571,-332.4408264,0.9692308
3659,3659,0.9692310,525.2637939,882.3696899,-357.1058655,0.9692308
3660,3660,1.0000000,510.1337280,899.7446899,-389.6109314,1.0000000
3661,3661,1.0000000,495.0491333,915.8027344,-420.7536011,1.0000000
